id,project_name,sector,country,budget,year
53,AgriTech Innovation,Technology,France,4778748,2017
54,Green Hydrogen Mission,Space Research,Thailand,1483159,2015
55,Green Hydrogen Mission,Space Research,UK,1367778,2018
56,Climate Monitoring System,Infrastructure,China,1895378,2020
57,National Data Hub,Environment,South Korea,1106390,2017
58,Satellite Communication System,Cybersecurity,UK,4919192,2021
59,Digital Education Drive,AI & ML,South Africa,4224027,2020
60,Satellite Communication System,Healthcare,UK,2389411,2020
61,Renewable Energy Storage,Transport,UK,3090631,2016
62,Renewable Energy Storage,Agriculture,UK,715610,2022
63,National Data Hub,Cybersecurity,Singapore,927462,2024
64,Digital Education Drive,Environment,Singapore,939119,2024
65,Cyber Defense Program,Agriculture,Australia,2269110,2017
66,Cyber Defense Program,Infrastructure,Singapore,4318792,2025
67,Renewable Energy Storage,Technology,UK,1899635,2024
68,Smart City Initiative,Healthcare,France,3673997,2021
69,Cyber Defense Program,Environment,Australia,3117586,2016
70,Solar Grid Expansion,Energy,China,2653945,2024
71,Urban Mobility Project,Space Research,UK,528572,2017
72,Digital Education Drive,Environment,Thailand,2596035,2018
73,Green Hydrogen Mission,Energy,France,2675372,2022
74,Solar Grid Expansion,Healthcare,France,402523,2018
75,Cyber Defense Program,Healthcare,Thailand,1149526,2019
76,Climate Monitoring System,Infrastructure,India,3543067,2016
77,Climate Monitoring System,AI & ML,Spain,4837586,2022
78,National Data Hub,Agriculture,Italy,1891267,2016
79,Clean Water Initiative,AI & ML,Brazil,1886345,2020
80,Urban Mobility Project,Healthcare,Brazil,3160755,2018
81,Green Hydrogen Mission,Energy,Australia,553172,2015
82,National Data Hub,Cybersecurity,South Korea,1919469,2022
83,Green Hydrogen Mission,Education,Canada,2750949,2019
84,Digital Education Drive,Biotechnology,Spain,3179901,2017
85,National Data Hub,Technology,Russia,3419666,2019
86,AI Healthcare Platform,Biotechnology,South Africa,756343,2023
87,AgriTech Innovation,AI & ML,Singapore,2357357,2018
88,Smart City Initiative,AI & ML,Malaysia,553001,2023
89,Satellite Communication System,Agriculture,Netherlands,398988,2017
90,AgriTech Innovation,Space Research,Russia,179646,2022
91,Green Hydrogen Mission,Transport,Thailand,959337,2023
92,Cyber Defense Program,Space Research,Italy,4322353,2017
93,Climate Monitoring System,Healthcare,Russia,1990987,2023
94,Satellite Communication System,Cybersecurity,Canada,2510145,2024
95,Climate Monitoring System,Technology,South Africa,3883930,2015
96,Cyber Defense Program,Cybersecurity,Japan,1848328,2025
97,Cyber Defense Program,Agriculture,USA,2214054,2018
98,Urban Mobility Project,Biotechnology,Italy,3509139,2025
99,Renewable Energy Storage,Agriculture,South Africa,2823470,2015
100,Satellite Communication System,Technology,Germany,1773280,2017
101,AgriTech Innovation,Technology,Canada,2757467,2018
102,Renewable Energy Storage,Agriculture,Spain,3611855,2015
103,National Data Hub,Space Research,Spain,4738115,2021
104,Solar Grid Expansion,Agriculture,France,1291402,2025
105,Cyber Defense Program,Education,Singapore,69766,2025
106,Satellite Communication System,Agriculture,UK,3363432,2016
107,Renewable Energy Storage,Transport,South Africa,378833,2021
108,AgriTech Innovation,Infrastructure,Singapore,1223191,2016
109,Digital Education Drive,Energy,UAE,2675705,2024
110,AI Healthcare Platform,Infrastructure,UAE,4653963,2019
111,Clean Water Initiative,Biotechnology,South Korea,4669230,2020
112,Green Hydrogen Mission,Biotechnology,South Africa,909271,2019
113,Smart City Initiative,Education,Spain,4671902,2020
114,AI Healthcare Platform,AI & ML,Brazil,2871825,2023
115,AI Healthcare Platform,Biotechnology,Italy,1556568,2016
116,Digital Education Drive,Energy,Brazil,4703637,2017
117,AgriTech Innovation,Biotechnology,Spain,3314273,2016
118,National Data Hub,Cybersecurity,Spain,416287,2016
119,AgriTech Innovation,Education,Germany,3683915,2025
120,AI Healthcare Platform,Healthcare,Australia,1064860,2017
121,Solar Grid Expansion,Biotechnology,Canada,345694,2019
122,Clean Water Initiative,Healthcare,Australia,351770,2022
123,Cyber Defense Program,Technology,UAE,1126155,2019
124,AI Healthcare Platform,Education,Japan,3694963,2017
125,Solar Grid Expansion,Healthcare,Japan,399706,2017
126,Clean Water Initiative,Agriculture,Thailand,3274473,2021
127,Satellite Communication System,Environment,Canada,3157687,2024
128,Urban Mobility Project,Infrastructure,Canada,1492202,2018
129,Renewable Energy Storage,Space Research,Italy,2484627,2016
130,Solar Grid Expansion,Environment,Germany,1313233,2016
131,Green Hydrogen Mission,Healthcare,Singapore,1796514,2025
132,Green Hydrogen Mission,Infrastructure,UAE,781820,2025
133,Green Hydrogen Mission,Energy,South Africa,3236188,2020
134,Solar Grid Expansion,Space Research,Canada,4687467,2017
135,AgriTech Innovation,Biotechnology,Singapore,3510772,2025
136,Urban Mobility Project,Technology,UK,3887350,2025
137,Digital Education Drive,Healthcare,Brazil,4258604,2021
138,Green Hydrogen Mission,Healthcare,UK,3027223,2024
139,AI Healthcare Platform,Transport,Italy,4668776,2023
140,Renewable Energy Storage,Energy,Malaysia,1331305,2022
141,National Data Hub,Environment,Singapore,303928,2023
142,Solar Grid Expansion,Transport,Japan,2239241,2025
143,Solar Grid Expansion,Transport,Russia,2407990,2022
144,Urban Mobility Project,Education,UK,4713785,2025
145,Clean Water Initiative,Technology,Malaysia,3879093,2017
146,Solar Grid Expansion,AI & ML,South Korea,3991537,2018
147,Cyber Defense Program,Infrastructure,France,896189,2025
148,Green Hydrogen Mission,AI & ML,Italy,324937,2018
149,Clean Water Initiative,Healthcare,Brazil,4217643,2023
150,Urban Mobility Project,Agriculture,China,4751863,2023
151,Smart City Initiative,AI & ML,India,2343776,2018
152,AgriTech Innovation,Space Research,South Africa,972392,2023
153,Cyber Defense Program,Energy,Canada,4896655,2024
154,Climate Monitoring System,Cybersecurity,South Africa,3874459,2022
155,Urban Mobility Project,Agriculture,South Korea,3058137,2018
156,Climate Monitoring System,Space Research,Italy,2136865,2023
157,Satellite Communication System,Healthcare,Malaysia,4220083,2016
158,AgriTech Innovation,AI & ML,Singapore,2916778,2020
159,Green Hydrogen Mission,Education,Brazil,4987864,2025
160,Urban Mobility Project,Space Research,Thailand,2085025,2018
161,Cyber Defense Program,Cybersecurity,South Korea,4274733,2021
162,Satellite Communication System,AI & ML,South Korea,4747066,2021
163,Cyber Defense Program,Healthcare,South Africa,3168452,2019
164,Climate Monitoring System,Biotechnology,Malaysia,3296505,2021
165,Satellite Communication System,Energy,China,4395671,2022
166,AgriTech Innovation,Healthcare,Brazil,4068590,2022
167,Urban Mobility Project,Technology,Italy,3256177,2018
168,Cyber Defense Program,Biotechnology,Thailand,562315,2025
169,Clean Water Initiative,Environment,Canada,3810549,2018
170,Cyber Defense Program,Infrastructure,France,4669281,2017
171,AgriTech Innovation,Technology,Thailand,835970,2025
172,Cyber Defense Program,Environment,Malaysia,4237297,2017
173,Clean Water Initiative,Technology,France,1552025,2021
174,Climate Monitoring System,Healthcare,India,2068177,2017
175,Urban Mobility Project,Transport,Spain,735889,2021
176,AgriTech Innovation,Space Research,USA,4428799,2023
177,Urban Mobility Project,Transport,Spain,3863476,2015
178,Clean Water Initiative,Education,Malaysia,3958074,2020
179,Urban Mobility Project,Infrastructure,India,3339305,2020
180,Urban Mobility Project,AI & ML,Thailand,4633462,2021
181,Smart City Initiative,Transport,Spain,1496961,2018
182,Smart City Initiative,Education,Germany,1554481,2022
183,AI Healthcare Platform,Cybersecurity,Brazil,4834068,2016
184,Climate Monitoring System,Agriculture,Italy,637904,2017
185,Satellite Communication System,Environment,France,960528,2016
186,AgriTech Innovation,Space Research,South Korea,4890105,2020
187,Satellite Communication System,Cybersecurity,Russia,4068997,2023
188,Clean Water Initiative,Environment,UAE,3633290,2022
189,Digital Education Drive,AI & ML,France,4698361,2017
190,Satellite Communication System,Education,Singapore,1756253,2021
191,Renewable Energy Storage,Agriculture,Japan,4326779,2020
192,Solar Grid Expansion,Space Research,India,4058288,2022
193,Urban Mobility Project,Healthcare,Brazil,3636047,2021
194,Renewable Energy Storage,Technology,Netherlands,1390970,2020
195,Green Hydrogen Mission,AI & ML,Australia,4602595,2022
196,Solar Grid Expansion,Environment,France,1727149,2017
197,Clean Water Initiative,Transport,Spain,4694358,2018
198,AI Healthcare Platform,AI & ML,South Korea,2766242,2017
199,AgriTech Innovation,Cybersecurity,Thailand,1936258,2016
200,Smart City Initiative,Space Research,USA,4616156,2017
201,Urban Mobility Project,Environment,UAE,4442429,2022
202,Satellite Communication System,Cybersecurity,Canada,3139920,2016
203,Cyber Defense Program,Biotechnology,Netherlands,951808,2025
204,National Data Hub,AI & ML,South Africa,4777415,2016
205,Renewable Energy Storage,Cybersecurity,Spain,3254060,2018
206,Green Hydrogen Mission,Energy,Russia,3045767,2018
207,AI Healthcare Platform,Infrastructure,Australia,1052994,2015
208,National Data Hub,Education,South Korea,2341669,2021
209,Urban Mobility Project,Infrastructure,Singapore,730020,2015
210,Cyber Defense Program,Agriculture,Spain,636431,2024
211,AgriTech Innovation,Cybersecurity,France,426319,2021
212,Digital Education Drive,Biotechnology,UAE,1156874,2024
213,Digital Education Drive,Transport,Germany,1560683,2025
214,Urban Mobility Project,Technology,Singapore,3027089,2025
215,Renewable Energy Storage,Infrastructure,Australia,4246680,2018
216,National Data Hub,Education,Australia,1528041,2023
217,Smart City Initiative,Education,Australia,4319285,2017
218,AI Healthcare Platform,Transport,South Africa,538188,2022
219,Climate Monitoring System,Energy,Singapore,2704015,2021
220,AI Healthcare Platform,Technology,UAE,3964886,2021
221,Urban Mobility Project,Technology,Netherlands,1447096,2024
222,Climate Monitoring System,Environment,Germany,421276,2022
223,Urban Mobility Project,Cybersecurity,Brazil,3359874,2020
224,Digital Education Drive,Cybersecurity,Spain,1565280,2019
225,AgriTech Innovation,Technology,Spain,2052087,2023
226,Climate Monitoring System,Technology,Japan,449301,2018
227,AgriTech Innovation,Education,Australia,4497610,2022
228,Renewable Energy Storage,Energy,Singapore,2286628,2015
229,Cyber Defense Program,Healthcare,Spain,4737425,2017
230,Digital Education Drive,Technology,South Korea,4808353,2015
231,Clean Water Initiative,Healthcare,China,2034763,2022
232,Smart City Initiative,Space Research,South Korea,3410656,2024
233,National Data Hub,Space Research,Netherlands,4356681,2025
234,Satellite Communication System,Space Research,India,576699,2024
235,AI Healthcare Platform,Biotechnology,Brazil,4025647,2019
236,Urban Mobility Project,Biotechnology,UAE,3280144,2018
237,National Data Hub,Biotechnology,UK,3707272,2022
238,Digital Education Drive,Education,Canada,2232685,2017
239,Green Hydrogen Mission,Agriculture,Canada,1725915,2019
240,Smart City Initiative,Technology,Germany,2895647,2025
241,Green Hydrogen Mission,Energy,Germany,4721149,2022
242,AgriTech Innovation,Education,South Africa,1470662,2020
243,AgriTech Innovation,Healthcare,Japan,3802709,2015
244,AgriTech Innovation,Energy,Spain,2788901,2025
245,Cyber Defense Program,Education,Thailand,3636469,2020
246,Solar Grid Expansion,AI & ML,Japan,3660784,2017
247,Green Hydrogen Mission,Agriculture,Russia,471956,2017
248,Urban Mobility Project,Education,South Korea,2066222,2023
249,Green Hydrogen Mission,Space Research,China,2885045,2017
250,Urban Mobility Project,Biotechnology,Singapore,4040896,2022
251,Cyber Defense Program,Agriculture,Russia,1368148,2016
252,Solar Grid Expansion,Transport,Malaysia,2449477,2020
253,AgriTech Innovation,Infrastructure,Malaysia,895138,2021
254,National Data Hub,Agriculture,Netherlands,4252859,2017
255,AgriTech Innovation,Education,Italy,425506,2025
256,Clean Water Initiative,Education,USA,225945,2025
257,National Data Hub,Infrastructure,UAE,3856735,2020
258,Solar Grid Expansion,Infrastructure,France,4827451,2021
259,Solar Grid Expansion,Education,France,4361108,2019
260,Climate Monitoring System,Space Research,Thailand,3410051,2015
261,National Data Hub,Cybersecurity,Brazil,4931072,2019
262,Solar Grid Expansion,Transport,UK,2475714,2019
263,Solar Grid Expansion,Cybersecurity,Thailand,4474335,2023
264,Satellite Communication System,Agriculture,Brazil,1538276,2022
265,Smart City Initiative,Biotechnology,Australia,1217249,2018
266,Renewable Energy Storage,Infrastructure,UK,294613,2025
267,Smart City Initiative,Transport,South Korea,661733,2016
268,Solar Grid Expansion,Cybersecurity,Brazil,2300272,2023
269,Digital Education Drive,AI & ML,Thailand,4171436,2025
270,Smart City Initiative,Healthcare,UAE,1319420,2020
271,National Data Hub,Energy,Singapore,3254925,2019
272,Satellite Communication System,Biotechnology,Brazil,508969,2017
273,Solar Grid Expansion,Space Research,Canada,2266788,2018
274,Solar Grid Expansion,Agriculture,Australia,2620361,2023
275,Climate Monitoring System,Technology,Thailand,4422355,2022
276,National Data Hub,Agriculture,Italy,3099667,2024
277,Cyber Defense Program,Infrastructure,Japan,1818448,2024
278,Smart City Initiative,Healthcare,Canada,4739433,2016
279,Climate Monitoring System,Agriculture,Italy,4544247,2023
280,National Data Hub,Space Research,Italy,66827,2020
281,AgriTech Innovation,Education,Netherlands,1989830,2025
282,Clean Water Initiative,Education,South Africa,1768676,2015
283,Climate Monitoring System,Healthcare,South Korea,3017854,2017
284,National Data Hub,Healthcare,UAE,1563219,2023
285,Solar Grid Expansion,Agriculture,Germany,4923257,2020
286,Cyber Defense Program,Agriculture,Japan,983760,2018
287,Digital Education Drive,Healthcare,France,127559,2017
288,Digital Education Drive,Transport,Australia,2283218,2024
289,Satellite Communication System,Agriculture,Germany,3574895,2022
290,Satellite Communication System,Technology,USA,3066464,2021
291,Renewable Energy Storage,AI & ML,France,4447838,2024
292,Cyber Defense Program,Technology,Germany,1832822,2023
293,AI Healthcare Platform,Cybersecurity,UK,3973496,2025
294,Satellite Communication System,Space Research,Canada,1143210,2016
295,AI Healthcare Platform,Education,Germany,1190444,2020
296,Clean Water Initiative,Environment,South Korea,1950712,2025
297,AI Healthcare Platform,Biotechnology,Germany,4065156,2019
298,Smart City Initiative,Transport,China,798918,2020
299,Digital Education Drive,Transport,Italy,4694249,2024
300,Green Hydrogen Mission,Biotechnology,Malaysia,332309,2023
301,Green Hydrogen Mission,Biotechnology,Brazil,1600516,2023
302,Urban Mobility Project,Space Research,Japan,632735,2017
303,Renewable Energy Storage,AI & ML,UAE,603723,2016
304,Climate Monitoring System,Education,India,2430213,2016
305,National Data Hub,Agriculture,Italy,2079764,2022
306,National Data Hub,Biotechnology,China,1834122,2024
307,AgriTech Innovation,Agriculture,Brazil,1666921,2023
308,Urban Mobility Project,Technology,Singapore,1929674,2016
309,Renewable Energy Storage,Technology,Japan,2656540,2023
310,Solar Grid Expansion,Agriculture,China,369114,2020
311,Smart City Initiative,Technology,Brazil,4573115,2023
312,Clean Water Initiative,Biotechnology,UK,1116904,2020
313,Clean Water Initiative,Energy,Canada,4191050,2016
314,Solar Grid Expansion,Environment,South Korea,746704,2018
315,Green Hydrogen Mission,Education,South Africa,4917759,2018
316,AgriTech Innovation,Cybersecurity,Australia,4425843,2016
317,Cyber Defense Program,Energy,Russia,3659706,2023
318,Urban Mobility Project,Space Research,Italy,4698064,2015
319,Clean Water Initiative,Agriculture,Netherlands,623912,2016
320,Urban Mobility Project,AI & ML,France,2024404,2020
321,Green Hydrogen Mission,Environment,Brazil,4905943,2020
322,AgriTech Innovation,Technology,South Korea,2993992,2018
323,Satellite Communication System,Energy,Brazil,1389382,2019
324,Urban Mobility Project,Space Research,UAE,1494426,2024
325,Green Hydrogen Mission,Environment,China,172384,2019
326,Urban Mobility Project,Cybersecurity,France,2446667,2021
327,Digital Education Drive,Agriculture,Australia,2544330,2020
328,AI Healthcare Platform,Education,Australia,440426,2018
329,Satellite Communication System,Biotechnology,UK,3996147,2023
330,Smart City Initiative,Healthcare,UK,2206585,2022
331,Digital Education Drive,Healthcare,Italy,1730696,2020
332,Climate Monitoring System,Agriculture,South Korea,2065979,2017
333,Urban Mobility Project,Biotechnology,Spain,2966194,2016
334,National Data Hub,Cybersecurity,South Africa,2628857,2017
335,Solar Grid Expansion,Transport,South Korea,1526098,2017
336,Cyber Defense Program,Biotechnology,Australia,3244102,2017
337,Solar Grid Expansion,Education,Thailand,1859428,2021
338,Clean Water Initiative,Environment,Spain,772986,2019
339,AI Healthcare Platform,Space Research,Singapore,1351258,2020
340,Renewable Energy Storage,Education,UAE,3892848,2016
341,Digital Education Drive,Technology,Brazil,310932,2023
342,Urban Mobility Project,Energy,Italy,1431698,2018
343,Satellite Communication System,Transport,Italy,3584909,2017
344,Satellite Communication System,Technology,Spain,3692431,2017
345,AI Healthcare Platform,AI & ML,China,2158529,2017
346,Renewable Energy Storage,Infrastructure,India,1513335,2018
347,AI Healthcare Platform,Transport,Spain,1681655,2020
348,Green Hydrogen Mission,Environment,Japan,4380014,2019
349,Cyber Defense Program,Agriculture,Thailand,4544737,2016
350,Cyber Defense Program,Technology,Germany,4044131,2017
351,Solar Grid Expansion,Biotechnology,Brazil,3654739,2018
352,Clean Water Initiative,Infrastructure,Russia,3459195,2019
353,Renewable Energy Storage,Transport,Netherlands,4931869,2023
354,Solar Grid Expansion,Infrastructure,France,3644685,2021
355,AI Healthcare Platform,Technology,USA,4707140,2018
356,Clean Water Initiative,Environment,South Africa,340881,2016
357,Urban Mobility Project,Healthcare,USA,3197796,2023
358,Smart City Initiative,Agriculture,Canada,927577,2017
359,Renewable Energy Storage,Transport,Netherlands,3718974,2016
360,Green Hydrogen Mission,Environment,Netherlands,2351351,2023
361,Cyber Defense Program,Education,France,3808308,2016
362,Smart City Initiative,Healthcare,South Korea,1824763,2016
363,Clean Water Initiative,Cybersecurity,Australia,679310,2022
364,Clean Water Initiative,Environment,Germany,4171737,2025
365,Green Hydrogen Mission,Space Research,China,254066,2025
366,Urban Mobility Project,Healthcare,Malaysia,4125705,2017
367,AgriTech Innovation,AI & ML,South Korea,4232118,2024
368,Green Hydrogen Mission,Cybersecurity,India,1544680,2018
369,Satellite Communication System,Biotechnology,South Africa,2657748,2022
370,Green Hydrogen Mission,Energy,China,1324393,2016
371,Satellite Communication System,Environment,Thailand,4605343,2018
372,Climate Monitoring System,Biotechnology,Russia,159573,2025
373,Cyber Defense Program,Agriculture,Thailand,1174204,2023
374,Solar Grid Expansion,AI & ML,Brazil,2092535,2015
375,Solar Grid Expansion,Space Research,India,1550500,2021
376,Digital Education Drive,Space Research,Singapore,117006,2020
377,AgriTech Innovation,AI & ML,Singapore,823948,2018
378,Digital Education Drive,Transport,Russia,3191640,2019
379,Satellite Communication System,Technology,South Korea,4789249,2025
380,Cyber Defense Program,Energy,UAE,389597,2016
381,Clean Water Initiative,Cybersecurity,Netherlands,3617202,2021
382,Digital Education Drive,Biotechnology,Netherlands,67262,2021
383,Cyber Defense Program,Education,South Africa,3279471,2019
384,AgriTech Innovation,Technology,India,930621,2018
385,Urban Mobility Project,Energy,Japan,4051016,2017
386,Smart City Initiative,Infrastructure,UAE,249733,2015
387,Green Hydrogen Mission,Education,UAE,2488194,2018
388,AgriTech Innovation,Cybersecurity,Russia,4681672,2021
389,AI Healthcare Platform,Healthcare,Japan,2196506,2019
390,Cyber Defense Program,Energy,UK,1223165,2023
391,Satellite Communication System,Agriculture,Malaysia,2372795,2018
392,Satellite Communication System,Environment,Italy,846166,2024
393,Urban Mobility Project,Energy,China,849885,2017
394,National Data Hub,Biotechnology,Italy,574827,2024
395,AI Healthcare Platform,AI & ML,South Korea,103327,2022
396,Climate Monitoring System,Space Research,Brazil,2715006,2015
397,Cyber Defense Program,Cybersecurity,Australia,1761213,2016
398,Cyber Defense Program,Transport,UAE,2092421,2017
399,Clean Water Initiative,Healthcare,Netherlands,1774379,2015
400,Smart City Initiative,AI & ML,Thailand,4639338,2017
401,Renewable Energy Storage,Agriculture,China,1824475,2017
402,Green Hydrogen Mission,Healthcare,Russia,2709656,2015
403,Clean Water Initiative,Biotechnology,Malaysia,2871672,2022
404,Smart City Initiative,Energy,Canada,3505470,2019
405,National Data Hub,Technology,France,1836794,2017
406,Climate Monitoring System,Space Research,Germany,965479,2019
407,Clean Water Initiative,Infrastructure,Canada,4719578,2015
408,Satellite Communication System,Infrastructure,Malaysia,3294392,2021
409,Clean Water Initiative,Agriculture,Japan,2746008,2015
410,Green Hydrogen Mission,Cybersecurity,Singapore,471410,2021
411,Solar Grid Expansion,AI & ML,Germany,4712870,2016
412,Cyber Defense Program,Agriculture,Malaysia,2663098,2015
413,Clean Water Initiative,Environment,Canada,4488412,2021
414,Urban Mobility Project,Transport,UAE,1751344,2024
415,Renewable Energy Storage,Education,UAE,393765,2020
416,Smart City Initiative,Environment,Netherlands,4245709,2022
417,AgriTech Innovation,Agriculture,Italy,4194564,2025
418,Climate Monitoring System,AI & ML,Russia,464591,2018
419,National Data Hub,Energy,Thailand,4661338,2021
420,Smart City Initiative,Healthcare,Japan,4412962,2025
421,AgriTech Innovation,Cybersecurity,Italy,2480603,2015
422,AgriTech Innovation,Agriculture,China,4534298,2018
423,Green Hydrogen Mission,Biotechnology,Canada,1511665,2023
424,National Data Hub,Biotechnology,Japan,4106825,2025
425,Urban Mobility Project,Space Research,Russia,4392539,2020
426,Renewable Energy Storage,Agriculture,USA,2857936,2015
427,AgriTech Innovation,Agriculture,USA,393234,2021
428,Urban Mobility Project,Cybersecurity,Malaysia,2861709,2024
429,Smart City Initiative,Biotechnology,UAE,1076528,2017
430,AgriTech Innovation,AI & ML,Malaysia,1954701,2018
431,Smart City Initiative,Education,India,1100789,2021
432,Clean Water Initiative,Space Research,South Korea,725971,2021
433,AgriTech Innovation,Environment,UK,2862131,2020
434,AgriTech Innovation,Agriculture,Australia,507920,2024
435,Renewable Energy Storage,Cybersecurity,Malaysia,1450249,2017
436,AI Healthcare Platform,Education,Singapore,3577711,2019
437,Renewable Energy Storage,Environment,Malaysia,3771559,2017
438,Climate Monitoring System,Education,Spain,4721238,2017
439,Solar Grid Expansion,Education,Malaysia,4404501,2020
440,Solar Grid Expansion,Healthcare,Spain,982481,2016
441,Urban Mobility Project,Environment,Netherlands,1942406,2019
442,Clean Water Initiative,Education,UAE,4568297,2023
443,AgriTech Innovation,Energy,UK,1125256,2021
444,Climate Monitoring System,Education,Canada,2443921,2018
445,Urban Mobility Project,Healthcare,UAE,4406846,2022
446,Digital Education Drive,Energy,Australia,4651598,2021
447,Renewable Energy Storage,Technology,Malaysia,2025249,2023
448,Solar Grid Expansion,Infrastructure,USA,1141298,2017
449,Renewable Energy Storage,Education,France,1275084,2018
450,Green Hydrogen Mission,Technology,UK,2826345,2015
451,Clean Water Initiative,Energy,China,4915603,2025
452,Cyber Defense Program,AI & ML,Thailand,1785297,2020
453,Urban Mobility Project,Biotechnology,Netherlands,2328311,2025
454,Cyber Defense Program,Education,Australia,4931453,2024
455,AgriTech Innovation,Environment,Malaysia,1665651,2019
456,Digital Education Drive,Transport,Germany,2021875,2023
457,Green Hydrogen Mission,Environment,USA,3398333,2019
458,Smart City Initiative,Environment,Italy,63000,2019
459,Cyber Defense Program,Biotechnology,Canada,3568855,2025
460,Digital Education Drive,Biotechnology,Australia,767349,2021
461,Green Hydrogen Mission,Biotechnology,Australia,4109632,2018
462,Clean Water Initiative,Education,USA,3046128,2018
463,Renewable Energy Storage,Healthcare,USA,4673003,2024
464,AI Healthcare Platform,Environment,Canada,3847579,2018
465,Urban Mobility Project,Cybersecurity,Singapore,3164084,2018
466,Climate Monitoring System,Transport,UK,2691673,2017
467,Renewable Energy Storage,Cybersecurity,Italy,3164798,2022
468,Clean Water Initiative,Environment,Netherlands,3630315,2019
469,Urban Mobility Project,Space Research,China,3570746,2022
470,Climate Monitoring System,Education,UK,1580762,2019
471,Cyber Defense Program,Technology,UK,3072690,2024
472,Clean Water Initiative,Technology,Spain,3155577,2017
473,Green Hydrogen Mission,Biotechnology,Italy,4499932,2016
474,AgriTech Innovation,Education,Singapore,1713263,2021
475,Smart City Initiative,Energy,Germany,924351,2017
476,Urban Mobility Project,Technology,South Africa,457164,2018
477,Cyber Defense Program,Biotechnology,France,1512983,2018
478,Smart City Initiative,Transport,Thailand,3563459,2016
479,AgriTech Innovation,Biotechnology,USA,2423623,2023
480,Solar Grid Expansion,Environment,Italy,1042562,2019
481,Satellite Communication System,Energy,Canada,2909042,2024
482,Urban Mobility Project,Technology,Canada,4602452,2023
483,Satellite Communication System,Energy,Thailand,2769838,2017
484,Urban Mobility Project,AI & ML,Russia,782332,2022
485,National Data Hub,Environment,Singapore,4405834,2020
486,Solar Grid Expansion,Cybersecurity,China,3663302,2017
487,National Data Hub,Transport,India,3462111,2023
488,Cyber Defense Program,Environment,South Korea,871318,2023
489,Renewable Energy Storage,Infrastructure,Spain,1311953,2020
490,National Data Hub,Transport,Italy,826969,2020
491,Cyber Defense Program,Cybersecurity,Thailand,500999,2024
492,Digital Education Drive,AI & ML,Spain,4374445,2017
493,Renewable Energy Storage,Space Research,Russia,4051502,2024
494,Smart City Initiative,AI & ML,India,2138051,2018
495,Smart City Initiative,Biotechnology,India,3286269,2023
496,Urban Mobility Project,Transport,France,2405797,2019
497,AI Healthcare Platform,Space Research,China,2478102,2017
